s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.045	0.04468668684727272	7.435941160217931e-05	0.03084909090909091	0.05885836363636364		-8.06039	0.05264	0.50	55000	10	4
0.045	0.05228726747272727	3.7164922748805546e-05	0.03741454545454546	0.06370254545454546		-7.98879	0.054186	0.50	55000	10	6
0.045	0.05487883777090909	0.00017587577248600152	0.031551272727272726	0.07465436363636363		-6.3407599999999995	0.07110636363636363	0.50	55000	10	2
0.015	0.01259290340768409	0.0006937829733084015	-0.0015160745454545455	0.0887449090909091		-7.21155	0.00011576363636363638	0.50	55000	10	4
0.015	0.017234978981054406	0.0008887856631387054	-0.0015046218181818181	0.10176		-8.2913	0.00016649236363636363	0.50	55000	10	7
0.035	0.041920935498181815	4.5179619351895984e-05	0.03336672727272728	0.05577636363636363		-9.8977	0.04357363636363637	0.50	55000	10	8
0.035	0.03996745766181818	3.345280656525812e-05	0.030088363636363635	0.050997999999999995		-9.48296	0.053663272727272726	0.50	55000	10	6
0.025	0.04485693603272727	3.0636137105822534e-05	0.03154945454545455	0.05471527272727273		-8.91318	0.05817163636363636	0.50	55000	10	1
0.035	0.03249696157818182	6.4489205191868e-05	0.020285454545454547	0.05160581818181818		-9.9208	0.04698654545454546	0.50	55000	10	10
0.025	0.05065090657454544	0.00012354512857013135	0.031655636363636365	0.07418363636363637		-9.25155	0.05153145454545455	0.50	55000	10	2
0.005	0.017451826540291034	0.0015240211849349985	-0.002063945454545455	0.12716127272727273		-6.14511	-0.00013229854545454545	0.50	55000	10	4
0.015	0.012157398844907607	0.0006377245205761051	-0.0016529436363636365	0.07634763636363637		-6.45634	0.000115854	0.50	55000	10	2
0.025	0.03663493556836364	7.85156929484799e-05	0.018905272727272725	0.05290109090909091		-9.26706	0.03820527272727273	0.50	55000	10	10
0.045	0.059279259578181816	0.00021672539377308835	0.037490363636363634	0.09127890909090909		-6.41961	0.06227218181818182	0.50	55000	10	9
0.025	0.039826116767272726	0.00010206897788494129	0.024516545454545458	0.05973763636363637		-9.52486	0.05413581818181818	0.50	55000	10	4
0.005	7.317446593665569e-05	1.038491975383883e-05	-0.0024445818181818182	0.0025794000000000004		-5.88264	-6.574890909090909e-05	0.50	55000	10	8
0.005	-0.00011054262531597093	8.769369322134756e-06	-0.0029429636363636365	0.002385981818181818		-4.7438199999999995	2.422072727272727e-05	0.50	55000	10	1
0.015	0.023304050796279053	0.0007491471627487345	-0.0009236	0.07443727272727273		-7.51495	0.07028472727272728	0.50	55000	10	5
0.035	0.03814943587090909	0.00040506034897590227	0.014957563636363637	0.08568781818181818		-11.8575	0.06744054545454546	0.50	55000	10	3
0.035	0.03962386940727272	4.659509716475066e-05	0.027692363636363636	0.051789636363636364		-9.31908	0.04590727272727273	0.50	55000	10	5
0.035	0.043093015530909086	0.00014046248210024907	0.030853818181818184	0.0724750909090909		-8.05236	0.07114509090909091	0.50	55000	10	2
0.045	0.04625034787272728	0.00011385247767194628	0.031012	0.06936381818181818		-8.113389999999999	0.06613836363636363	0.50	55000	10	1
0.045	0.04190605004727273	8.530444977793744e-05	0.02577690909090909	0.05913890909090909		-8.86158	0.054148909090909095	0.50	55000	10	8
0.045	0.040024166607272725	7.814043304079506e-05	0.02729090909090909	0.06016345454545454		-9.30436	0.04622054545454546	0.50	55000	10	3
0.035	0.03724389972363636	2.0809082876242175e-05	0.02859090909090909	0.04543127272727272		-9.84029	0.04679290909090909	0.50	55000	10	4
0.025	0.04640740253090909	8.783571171174426e-05	0.028754000000000002	0.06368563636363636		-8.97441	0.04144981818181818	0.50	55000	10	6
0.045	0.04279621070545455	0.00023934029349803777	0.02646218181818182	0.0774329090909091		-5.72706	0.07121090909090909	0.50	55000	10	10
0.045	0.04088233440363637	7.507574786963672e-05	0.025966000000000003	0.057163818181818184		-7.83932	0.058486909090909096	0.50	55000	10	7
0.035	0.039236279829090906	7.762275907238589e-05	0.023152363636363638	0.0539289090909091		-9.03079	0.053152000000000005	0.50	55000	10	9
0.015	0.01877880823336278	0.00037624771447444523	-0.0009885727272727271	0.05098054545454545		-10.0271	0.05789290909090909	0.50	55000	10	6
0.025	0.04462102962909091	3.198197293778616e-05	0.033224	0.05449545454545455		-9.29035	0.04664109090909091	0.50	55000	10	3
0.025	0.04639723128	8.320970058270171e-05	0.027819090909090908	0.06177745454545455		-8.85939	0.0434729090909091	0.50	55000	10	7
0.015	0.03543168450471445	0.0019293321402823807	-0.000701990909090909	0.12523036363636364		-8.33838	0.11287836363636364	0.50	55000	10	10
0.025	0.024297710172589162	0.0002267163604185351	-0.0002963163636363636	0.04721563636363637		-9.05611	0.031107636363636365	0.50	55000	10	8
0.035	0.04319377812363636	5.689726406327596e-05	0.031972545454545455	0.05916345454545454		-7.928039999999999	0.06344981818181818	0.50	55000	10	1
0.015	0.02030526165387178	0.0012130830986946575	-0.0013356127272727272	0.09965290909090908		-7.66935	-2.441509090909091e-05	0.50	55000	10	1
0.045	0.04246157654181819	8.945926957131161e-05	0.028989636363636363	0.061745272727272725		-7.72473	0.05963581818181818	0.50	55000	10	5
0.035	0.04429454882909091	7.924053644236176e-05	0.024996545454545452	0.06037945454545454		-8.654580000000001	0.04808618181818181	0.50	55000	10	7
0.005	-3.661662569490147e-06	6.049949348315922e-06	-0.0024268545454545457	0.0022771454545454546		-4.51537	-6.970818181818183e-05	0.50	55000	10	5
0.015	0.016706703662256326	0.001227402002862605	-0.0018739818181818181	0.11780309090909091		-5.6215	-0.0002605127272727273	0.50	55000	10	9
0.005	-9.024021146470908e-05	4.815179023960901e-06	-0.002618490909090909	0.002055618181818182		-5.22087	-0.0005261327272727273	0.50	55000	10	2
0.005	-2.417212927698074e-05	6.1804094479759745e-06	-0.0025726363636363637	0.0023251454545454545		-5.22248	-0.002702581818181818	0.50	55000	10	10
0.005	8.382219559196162e-06	5.699316412644799e-06	-0.0022722363636363636	0.002202272727272727		-5.59859	2.5126545454545456e-05	0.50	55000	10	6
0.025	0.03673112141345455	0.00011013164916400375	0.021749636363636363	0.05848854545454545		-10.177999999999999	0.05157818181818182	0.50	55000	10	5
0.015	0.007544924043325566	0.0002434109929120543	-0.0013530090909090909	0.04942654545454545		-7.5655	-5.278909090909091e-05	0.50	55000	10	8
0.025	0.03925397246545454	3.345722672436609e-05	0.02918290909090909	0.04993927272727273		-9.08025	0.04186218181818182	0.50	55000	10	9
0.005	-8.749756796918341e-05	7.262293564895203e-06	-0.003046	0.0023215454545454546		-3.8862099999999997	0.0006810872727272728	0.50	55000	10	3
0.015	0.009476921854423849	0.00036311810726300566	-0.0013392181818181817	0.05849490909090909		-7.396539999999999	-0.0001475789090909091	0.50	55000	10	3
0.005	-0.00018699644471526533	8.693628805210908e-06	-0.003994145454545454	0.0023284181818181817		-5.75741	0.00023298727272727272	0.50	55000	10	7
0.005	0.00044463855662894185	2.0867660554147227e-05	-0.002103509090909091	0.004197563636363636		-6.83478	4.981090909090909e-05	0.50	55000	10	9
