s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.015	0.035196372997425306	0.002031425289289399	-0.0021957640000000002	0.12144959999999999		-15.7154	-0.0003333068	0.50	25000	10	3
0.015	0.0026802987566538878	0.00027373150349631955	-0.00556732	0.0486776		-13.1088	-0.0005516960000000001	0.50	25000	10	1
0.035	0.054364519763199996	8.096980430244746e-05	0.0355084	0.0676532		-14.2365	0.0664676	0.50	25000	10	8
0.025	0.037187014712	0.00019631118967869884	0.01676812	0.06803479999999999		-18.4311	0.0389382	0.50	25000	10	2
0.045	0.06937110675359999	0.0002444003525603686	0.0433888	0.09903440000000001		-16.4011	0.0778572	0.50	25000	10	10
0.035	0.0651164941056	0.0002390815114979761	0.03577584	0.0933544		-13.3686	0.0760864	0.50	25000	10	6
0.015	0.000797668828404376	0.0001232918248284898	-0.006187519999999999	0.01304228		-10.790999999999999	-2.7978640000000003e-05	0.50	25000	10	4
0.005	0.0007385211160117384	7.653886145419074e-05	-0.00447712	0.009521360000000001		-11.1958	0.0001649156	0.50	25000	10	8
0.005	0.006152256180077368	0.0007168368191050071	-0.00479292	0.1111376		-14.004000000000001	0.000459152	0.50	25000	10	6
0.005	0.001275235272555408	0.00013830351343949125	-0.0049686	0.0176486		-9.687489999999999	-0.0017877200000000002	0.50	25000	10	5
0.015	0.0057446596228508074	0.0001380792082054769	-0.00274628	0.03930728		-16.6065	0.0240294	0.50	25000	10	7
0.045	0.042020749640800006	0.00010196550398823394	0.028791	0.0647708		-19.6558	0.046995600000000005	0.50	25000	10	5
0.025	0.04058697478289653	0.0003588697891232672	-5.1980399999999994e-05	0.0700484		-15.9654	0.055614399999999994	0.50	25000	10	7
0.045	0.043644798531200006	0.00013628362183664975	0.02532324	0.0662748		-22.1173	0.042717200000000004	0.50	25000	10	1
0.045	0.0638460277768	0.0009997152459562302	0.0388154	0.1381544		-13.3462	0.098994	0.50	25000	10	9
0.015	0.026973800556734512	0.003361798620103635	-0.00423556	0.20439200000000002		-11.7655	0.0001101736	0.50	25000	10	8
0.025	0.0371813741192	2.9982256272511277e-05	0.027048600000000003	0.047095200000000004		-17.2876	0.0459764	0.50	25000	10	1
0.045	0.0559518474632	0.00035809574145481736	0.03435132	0.0969196		-15.7304	0.0706044	0.50	25000	10	6
0.045	0.056189485554399995	0.00017633450507074748	0.03439788	0.0856208		-14.6514	0.0677536	0.50	25000	10	3
0.035	0.0441980497664	5.660110710486335e-05	0.03066252	0.057095200000000006		-16.6211	0.059072799999999995	0.50	25000	10	5
0.025	0.048651525951999994	0.00014678610206727828	0.02772212	0.0729648		-17.4791	0.0499908	0.50	25000	10	3
0.025	0.048912144617600004	0.00017076553676166075	0.02989864	0.076298		-18.6579	0.0447624	0.50	25000	10	5
0.025	0.037597420150400004	0.00012730457422503795	0.012109280000000002	0.0519496		-16.4698	0.0486604	0.50	25000	10	10
0.025	0.0427262363784	0.0002552744218247169	0.01675052	0.07230439999999999		-21.4856	0.050023599999999994	0.50	25000	10	6
0.005	0.0012386285640851574	0.00014722589986177265	-0.0045916	0.011471400000000001		-2.21766	8.891760000000002e-05	0.50	25000	10	9
0.045	0.0433192726936	0.0001334303504651933	0.02115384	0.068678		-16.7381	0.0482404	0.50	25000	10	2
0.025	0.037743006090608794	0.0005343174931116498	0.0068748	0.0977876		-16.5965	0.0456812	0.50	25000	10	8
0.035	0.0451317166104	0.00019343213310237878	0.02920228	0.0800636		-14.5758	0.0803516	0.50	25000	10	10
0.045	0.0637229978328	0.00022031978689633153	0.03980384	0.0882044		-11.1309	0.0814552	0.50	25000	10	8
0.015	0.0519238376670011	0.0033249783910816793	-0.002174244	0.16378120000000002		-15.139000000000001	0.0960844	0.50	25000	10	2
0.005	0.018827202136785844	0.005120880517546527	-0.005267480000000001	0.2995528		-10.7256	-0.0003761316	0.50	25000	10	1
0.015	0.0018864900462556159	0.00025263318625905987	-0.0050766000000000006	0.01743516		-13.6285	5.57564e-05	0.50	25000	10	5
0.035	0.05737658285680001	0.0003391278262286774	0.02494948	0.0924684		-16.3006	0.080454	0.50	25000	10	3
0.045	0.0652838072064	0.0005222354650603329	0.038035759999999995	0.1082972		-17.9965	0.0628852	0.50	25000	10	4
0.035	0.0436816270328	7.823342300213634e-05	0.03004044	0.065468		-19.8672	0.051447200000000005	0.50	25000	10	2
0.015	0.009598146129368488	0.0003822160306394216	-0.002759588	0.0602368		-18.4776	-6.74384e-06	0.50	25000	10	9
0.015	0.0032638169266531554	0.0004569961803177708	-0.004883	0.03910796		-17.093	0.001878116	0.50	25000	10	10
0.035	0.049693056202400006	8.288946049342354e-05	0.03713256	0.0723492		-16.5547	0.058853199999999994	0.50	25000	10	7
0.035	0.048690161216000005	0.00025942739358709565	0.02535992	0.0852472		-16.6478	0.0595764	0.50	25000	10	9
0.035	0.0481744220512	8.339115469803215e-05	0.03052032	0.0691464		-14.9218	0.058765200000000004	0.50	25000	10	1
0.045	0.0763043765648	0.0002191658785114926	0.0529076	0.10958200000000001		-14.4295	0.0789092	0.50	25000	10	7
0.005	0.0007403362928248839	0.00012678004413988608	-0.0047622	0.00703072		-9.1037	-0.0002944796	0.50	25000	10	10
0.035	0.049565725899999996	0.00010712131933847161	0.03343512	0.06567680000000001		-15.0867	0.056116400000000004	0.50	25000	10	4
0.025	0.04808331193200001	0.0001336696666138623	0.03082896	0.0703636		-21.1856	0.0492632	0.50	25000	10	4
0.005	0.00016512246763438705	3.1945951762265815e-05	-0.00436348	0.00553476		-8.838389999999999	-0.003203952	0.50	25000	10	7
0.025	0.04176223349120001	5.224389203003401e-05	0.0284644	0.056175600000000006		-21.6462	0.03839968	0.50	25000	10	9
0.015	0.012700088363062516	0.0006435229505085033	-0.002967708	0.08277		-17.0912	0.000851716	0.50	25000	10	6
0.005	1.7054715308696088e-05	3.354332538877566e-05	-0.00504168	0.005143440000000001		-5.7463	0.001694324	0.50	25000	10	4
0.005	0.00029231926169708406	3.7626088802405725e-05	-0.004796	0.006668639999999999		-8.47575	0.000691936	0.50	25000	10	3
0.005	0.00783577359101078	0.004666132548357128	-0.0053065199999999995	0.025372960000000003		-5.24011	-0.0008932720000000001	0.50	25000	10	2
