s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.045	0.0454668310056	0.00019766781355434927	0.02508164	0.079592		-16.9966	0.056008	0.50	25000	10	9
0.045	0.06869961912080001	0.0003080575333459801	0.0443304	0.1059284		-12.2647	0.0746572	0.50	25000	10	2
0.035	0.0520752097608	0.00013969535864571703	0.03121824	0.0718544		-15.4629	0.07173439999999999	0.50	25000	10	5
0.005	0.04908530454366331	0.020253686176207097	-0.009966439999999998	0.541844		-6.47691	0.00017255120000000002	0.50	25000	10	9
0.045	0.0521017696728	0.00018968953700324547	0.03316464	0.07772520000000001		-16.669	0.064062	0.50	25000	10	4
0.035	0.048742767507999996	0.00021305983202224305	0.02913344	0.0799616		-22.9053	0.0482616	0.50	25000	10	3
0.015	0.009290581637079609	0.0010431408541876272	-0.003178644	0.13991520000000002		-10.1307	-0.00029350359999999996	0.50	25000	10	9
0.035	0.0369370236024	5.505024727459235e-05	0.02359288	0.0511024		-19.648	0.058506	0.50	25000	10	7
0.015	0.002346943703817832	0.00013236277430705935	-0.003267008	0.0415728		-19.4604	0.000733616	0.50	25000	10	3
0.025	0.04800397447759999	4.837864669345928e-05	0.03570948	0.0636128		-17.6327	0.055173999999999994	0.50	25000	10	6
0.005	8.715847291373186e-05	3.119364688481044e-05	-0.00521564	0.00572024		-7.244730000000001	0.00485648	0.50	25000	10	3
0.035	0.04774594601999999	0.00011042120275182488	0.0302044	0.0711468		-16.9627	0.0633096	0.50	25000	10	6
0.045	0.074212201128	0.00030165450446594726	0.049025200000000005	0.1036316		-13.5366	0.08658	0.50	25000	10	7
0.025	0.03414416578480001	6.797000586872842e-05	0.019745839999999997	0.05024		-18.7075	0.0431664	0.50	25000	10	2
0.005	0.00013803125275396776	3.783373668697599e-05	-0.00471932	0.00520316		-10.4845	-0.000801376	0.50	25000	10	1
0.045	0.04040838074079999	7.393097431776447e-05	0.022784879999999997	0.0539392		-19.6614	0.047953199999999994	0.50	25000	10	5
0.045	0.0491210158992	0.00030850820779288466	0.02028844	0.08681280000000001		-15.9663	0.0818428	0.50	25000	10	8
0.035	0.05001353076639999	9.33532400289719e-05	0.0325602	0.0692172		-16.0256	0.0657928	0.50	25000	10	1
0.035	0.0465344050704	0.0001202083999559613	0.02707228	0.066812		-16.2861	0.06571880000000001	0.50	25000	10	2
0.035	0.046595712216	4.7095227333752194e-05	0.03489992	0.06006		-18.7082	0.0530968	0.50	25000	10	9
0.025	0.0505028352184	0.00012837828544844319	0.03156532	0.0745812		-19.927	0.054047200000000004	0.50	25000	10	8
0.045	0.06474155784880001	0.00037107212418979117	0.03167792	0.09754120000000001		-14.4619	0.074866	0.50	25000	10	1
0.025	0.0376905875864	0.0001232530094972895	0.018683239999999997	0.062728		-19.8635	0.0509592	0.50	25000	10	5
0.015	0.04385117535593791	0.0028062309862355154	-0.002167688	0.1562212		-16.0356	5.36912e-05	0.50	25000	10	1
0.005	-6.546687113517912e-05	5.4705994631054783e-05	-0.00486276	0.005076280000000001		-2.10098	-0.000836088	0.50	25000	10	5
0.025	0.03893054111980824	0.0002459225978214635	0.00279742	0.06846479999999999		-17.1089	0.045068000000000004	0.50	25000	10	1
0.025	0.03347442952216	0.00014176566808793523	0.010369000000000001	0.05270520000000001		-19.6018	0.041221999999999995	0.50	25000	10	9
0.025	0.042900388391199994	0.00015626878745088744	0.02554408	0.0678228		-14.7048	0.0575292	0.50	25000	10	7
0.045	0.0396746337104	6.053582228640086e-05	0.025201679999999997	0.0521716		-20.441	0.050039600000000004	0.50	25000	10	3
0.015	0.06736667392251977	0.009355600878346724	-0.00216104	0.343632		-14.1604	0.1711052	0.50	25000	10	6
0.035	0.0446880572232	6.341013014974384e-05	0.03360192	0.06775479999999999		-18.0226	0.05077	0.50	25000	10	10
0.025	0.04201288339317976	0.00020830163252534505	0.0088302	0.061054		-16.1382	0.051217200000000004	0.50	25000	10	10
0.005	0.009025447646347615	0.0019776311806364304	-0.0045618	0.169756		-10.3861	0.0002314808	0.50	25000	10	4
0.035	0.045999820088	0.00019817506692513376	0.02789348	0.0755388		-13.5426	0.07394479999999999	0.50	25000	10	8
0.015	0.01316277308552248	0.0006742822299588092	-0.002768236	0.0769668		-17.6036	0.00032761559999999995	0.50	25000	10	4
0.025	0.0402067423352	4.784900249222979e-05	0.028065759999999995	0.053191999999999996		-22.789	0.041236800000000004	0.50	25000	10	3
0.015	0.025604153103421474	0.0010927408786399436	-0.0026178840000000004	0.09803719999999999		-18.8153	0.031181999999999998	0.50	25000	10	2
0.015	0.03984154561582653	0.0027262086969479372	-0.00430424	0.13524360000000002		-15.9406	0.0011081399999999999	0.50	25000	10	5
0.015	0.014052922863009869	0.0014119626814659957	-0.0036048919999999997	0.139994		-12.1502	-0.002118248	0.50	25000	10	10
0.005	0.000682113317049704	0.00015523705739572786	-0.00608164	0.00959836		-4.32661	-0.000708564	0.50	25000	10	2
0.035	0.0529923596208	0.00019634225547099642	0.0355932	0.0798252		-14.0163	0.0746804	0.50	25000	10	4
0.005	-0.0004910074946747918	9.002638052950627e-05	-0.00668452	0.00504076		-6.076569999999999	-0.0001090268	0.50	25000	10	7
0.045	0.06611865519360001	0.000397518423304694	0.035648759999999995	0.10008840000000001		-12.9644	0.0646532	0.50	25000	10	10
0.045	0.0387060777512	4.481627077213272e-05	0.02510736	0.05028		-18.4586	0.0418444	0.50	25000	10	6
0.015	0.009615368858432675	0.0003993780556463392	-0.00299694	0.0672768		-14.2197	-0.005529439999999999	0.50	25000	10	8
0.005	0.000634933692428352	7.936784684147455e-05	-0.00453128	0.007117639999999999		-10.8699	0.000710304	0.50	25000	10	6
0.025	0.042500513131200006	0.00010044934094342375	0.02445444	0.061354		-18.3364	0.0482644	0.50	25000	10	4
0.005	0.00573189317786532	0.0009136027680507669	-0.0037238440000000005	0.1139884		-11.6172	0.1604196	0.50	25000	10	8
0.015	0.0015954534989279312	0.00011184305324348167	-0.00466044	0.02363936		-17.759	0.000790972	0.50	25000	10	7
0.005	-0.000474181399976934	0.00024045410003842383	-0.00821824	0.00676688		-9.76639	8.88572e-05	0.50	25000	10	10
