s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.035	0.052450877324	0.0004307422992766907	0.01858512	0.0895096		-7.28223	0.0730132	0.50	25000	10	5
0.035	0.0490514991512	0.00038747842956259363	0.0265248	0.08421680000000001		-9.62445	0.0417528	0.50	25000	10	10
0.045	0.0493130287464	0.00015715907168233276	0.02052592	0.0705428		-7.98491	0.053766	0.50	25000	10	10
0.045	0.040972785592	0.00017427668792658146	0.01691308	0.0626104		-6.851839999999999	0.05969479999999999	0.50	25000	10	4
0.045	0.04886375230640001	0.00015804740732910247	0.02945776	0.07971		-7.95143	0.0568416	0.50	25000	10	6
0.005	0.001328465826906864	0.00040371609669047717	-0.00474788	0.0064952		-1.77214	0.0002627384	0.50	25000	10	10
0.015	0.0014807355298667203	9.731411492693641e-05	-0.00403276	0.025677960000000003		-5.57857	-0.0012755	0.50	25000	10	6
0.015	0.003538373480556414	0.00014918480534904704	-0.0029823239999999997	0.0483876		-6.739839999999999	-9.497119999999998e-05	0.50	25000	10	1
0.005	0.0005202976086959806	7.340084900967263e-05	-0.00454036	0.0067167600000000004		-3.0040400000000003	0.001021904	0.50	25000	10	4
0.015	0.02478247938969071	0.0020477723424174826	-0.002640376	0.1339544		-8.62802	0.0529192	0.50	25000	10	7
0.005	0.00052334697626716	5.459018426936484e-05	-0.00507128	0.00719788		-3.61936	-4.63796e-05	0.50	25000	10	6
0.045	0.037203562604	9.5336696225975e-05	0.021984720000000003	0.057271999999999997		-8.54526	0.045054399999999994	0.50	25000	10	5
0.005	-0.0005971796280435703	6.438135303987109e-05	-0.0069512	0.003961832		-4.165019999999999	0.0018407	0.50	25000	10	2
0.005	5.130784260055826e-05	2.981516356790755e-05	-0.005305119999999999	0.0056643200000000005		-5.1997599999999995	0.00019239000000000002	0.50	25000	10	9
0.035	0.04357754964879999	0.00016702616064263618	0.019078	0.067498		-9.41518	0.054583999999999994	0.50	25000	10	7
0.045	0.0527721655184	0.0006087707464418719	0.020042079999999997	0.10869559999999999		-5.05994	0.1090352	0.50	25000	10	9
0.025	0.047596620909600006	8.0923811699493e-05	0.03217336	0.0744904		-10.8632	0.047376	0.50	25000	10	4
0.045	0.05190706500560001	0.0005316905954698189	0.015826800000000002	0.087444		-6.0450800000000005	0.0728656	0.50	25000	10	7
0.015	0.013962321829321705	0.0005091907272867112	-0.00181126	0.0711928		-11.0795	0.000149448	0.50	25000	10	4
0.025	0.05407827284	8.931541973279184e-05	0.03837696	0.07238560000000001		-9.93415	0.0454592	0.50	25000	10	9
0.035	0.0516325765336	0.00027944397607891256	0.02539432	0.0851312		-9.47182	0.0616	0.50	25000	10	8
