s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.045	0.02646935302545455	6.356060686148078e-05	0.015614109090909092	0.044816		-3.36807	0.044611454545454544	0.50	55000	10	1
0.035	0.04571619895272727	0.00016771992153422042	0.027790545454545453	0.07133163636363636		-3.59677	0.04008363636363636	0.50	55000	10	3
0.015	0.000506311641775743	1.4994810352430616e-05	-0.0020162363636363635	0.0068917454545454546		-3.14551	0.0005911290909090908	0.50	55000	10	5
0.025	0.03192842699963636	0.00028158395497227397	0.009952545454545454	0.06601781818181818		-4.9932300000000005	0.048748545454545454	0.50	55000	10	1
0.015	0.0008043438548406121	2.6831634366819702e-05	-0.0019443636363636362	0.013094218181818182		-3.05455	0.00018536	0.50	55000	10	8
0.045	0.019068426032036366	5.590491713202501e-05	0.007953509090909092	0.036568363636363635		-5.26696	0.03051981818181818	0.50	55000	10	7
0.045	0.02821626784036364	0.00010914989340424465	0.011075254545454546	0.046070545454545454		-3.5444	0.033862	0.50	55000	10	6
0.045	0.026943314261818178	0.00014228647945879194	0.009217872727272727	0.05042690909090909		-2.60657	0.04779872727272727	0.50	55000	10	4
0.015	0.0003842867468409848	1.5397744395293434e-05	-0.0021973818181818183	0.00580070909090909		-2.69251	0.0003911454545454546	0.50	55000	10	2
0.015	0.0003085465223515836	1.3224944437815216e-05	-0.0023022000000000003	0.004463418181818181		-3.91572	0.0005922290909090909	0.50	55000	10	9
0.045	0.030230993029154628	0.0003045694081265838	-0.00014991836363636367	0.06071109090909091		-3.3104400000000003	0.04327054545454546	0.50	55000	10	5
0.045	0.027927665715636363	0.00024397331718135792	0.006241836363636364	0.053149636363636364		-3.42253	0.04240054545454546	0.50	55000	10	9
0.005	1.8100022091378138e-05	8.693335530836904e-06	-0.0026158545454545456	0.0025481090909090912		-1.829	-0.00018790000000000001	0.50	55000	10	3
0.025	0.042115063444168294	0.0004192958809453839	-0.00021839454545454545	0.069604		-4.09187	0.07025745454545454	0.50	55000	10	2
0.035	0.030012223264727272	0.00019745152499508497	0.014026945454545454	0.06589472727272727		-3.05817	0.0668489090909091	0.50	55000	10	4
0.045	0.03356505322436363	0.00028431890600760296	0.008461181818181819	0.06965472727272727		-2.02827	0.06824709090909091	0.50	55000	10	10
0.025	0.041072720302848774	0.0007359466673467272	-0.00038332727272727277	0.0942710909090909		-4.01565	0.066542	0.50	55000	10	10
