s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.045	0.06491240314159999	0.00031827392916291273	0.03205296	0.0933704		-6.77025	0.0764992	0.50	25000	10	1
0.045	0.0500505581384	0.00014407977431679336	0.03347956	0.07552600000000001		-7.12332	0.072128	0.50	25000	10	3
0.015	0.021131129255711867	0.0006100832469115969	-0.001673792	0.0741692		-7.301939999999999	0.002846628	0.50	25000	10	10
0.015	0.013724856614788316	0.0005171749259528761	-0.001863228	0.072958		-8.586110000000001	0.00012129279999999999	0.50	25000	10	2
0.005	0.0003289279651828623	7.368374979623918e-05	-0.00557688	0.00745784		-3.6049	-0.0002658564	0.50	25000	10	4
0.025	0.0400956378896	5.765141619900106e-05	0.025620920000000002	0.054256000000000006		-8.87612	0.047242	0.50	25000	10	1
0.015	0.016215328867700916	0.0012190281875804835	-0.003105044	0.11582440000000001		-6.3366	0.00423096	0.50	25000	10	8
0.015	0.03854895222985469	0.003249241737947834	-0.001792908	0.20185		-7.42059	0.0988116	0.50	25000	10	5
0.005	0.00033815093131255204	1.5962168662061308e-05	-0.003565492	0.006647919999999999		-6.08695	0.001162208	0.50	25000	10	6
0.035	0.0438215844784	0.00023819801226550847	0.01944928	0.077878		-7.7287	0.0564192	0.50	25000	10	9
0.005	4.160687103808783e-05	3.650344074156373e-05	-0.0056779199999999995	0.0052462		-3.35169	-0.000961588	0.50	25000	10	7
0.015	0.00699707559276776	0.000453712954635076	-0.0032643999999999998	0.0799944		-7.800739999999999	0.0538924	0.50	25000	10	6
0.045	0.0539468968344	0.0006400705441452955	0.01536412	0.1004388		-5.56506	0.0831912	0.50	25000	10	10
0.025	0.0403943821256	8.904995989291175e-05	0.025061679999999996	0.058303999999999995		-9.411669999999999	0.0486408	0.50	25000	10	5
0.005	-0.00018607968368551518	4.65942483284947e-05	-0.00601408	0.005037440000000001		-2.36163	0.000496708	0.50	25000	10	10
0.025	0.038337934088	7.007712865802935e-05	0.02470656	0.057564399999999995		-9.3185	0.042226400000000004	0.50	25000	10	8
0.045	0.0403138694592	6.537893296132046e-05	0.02559524	0.055832		-8.20933	0.057366400000000005	0.50	25000	10	9
0.015	0.021344992923831126	0.0012067570141969925	-0.00273734	0.09687		-7.15142	0.00041137599999999997	0.50	25000	10	3
0.035	0.0342314359576	6.291443173578795e-05	0.020621039999999997	0.0491952		-8.29332	0.0517284	0.50	25000	10	7
0.045	0.0529382132464	0.0007133357789582909	0.01155852	0.10615680000000001		-4.03469	0.1067752	0.50	25000	10	2
0.045	0.05500983928880001	7.308133684270649e-05	0.0395146	0.0743944		-7.04945	0.060895200000000003	0.50	25000	10	8
0.025	0.049299071365167375	0.0015307170434676687	-0.0009059480000000001	0.122194		-6.685169999999999	0.1045944	0.50	25000	10	3
0.025	0.049501166275199994	0.00012263957259814857	0.03116188	0.07527479999999999		-10.4121	0.0655388	0.50	25000	10	9
0.025	0.024005800872646563	0.00017097209080974563	0.00414348	0.0500708		-13.8963	0.03584652	0.50	25000	10	7
0.045	0.037006654594399994	9.22287688474463e-05	0.02260164	0.0587012		-9.23938	0.0643876	0.50	25000	10	5
0.005	0.0002455274002528256	2.5618972349279677e-05	-0.0043527999999999996	0.0054564800000000005		-5.87637	0.0002140912	0.50	25000	10	8
0.005	-0.00021095343209647204	2.053135304003481e-05	-0.0062066	0.0043586		-2.1335599999999997	-0.008822960000000001	0.50	25000	10	1
0.005	-0.00016460730399487454	4.8468923935799034e-05	-0.00569184	0.00508592		-4.06124	0.0002057764	0.50	25000	10	2
0.015	0.005047166908173579	0.00031897265831643695	-0.00313762	0.0632388		-6.22089	-0.001088112	0.50	25000	10	4
0.035	0.027223998955199998	4.8885536093163016e-05	0.014709120000000001	0.041606800000000006		-11.5801	0.0293574	0.50	25000	10	3
0.035	0.049742301373599994	0.00039108852601178	0.017169760000000003	0.0825764		-7.185	0.0732404	0.50	25000	10	8
0.035	0.04615050919679999	0.00012885885748253702	0.027148679999999998	0.0675888		-9.234630000000001	0.0505788	0.50	25000	10	1
0.035	0.031946568704	4.443225499619831e-05	0.022261239999999998	0.049538		-9.34952	0.0501556	0.50	25000	10	4
0.015	0.025346184986975412	0.001158540908016051	-0.002315192	0.1114132		-9.36271	0.054303199999999996	0.50	25000	10	1
0.045	0.041253601961599995	0.00014675693405385775	0.023285120000000003	0.068644		-7.95678	0.061093999999999996	0.50	25000	10	6
0.045	0.0466525861456	0.00012671848777012014	0.027074679999999997	0.070048		-5.6607199999999995	0.07470600000000001	0.50	25000	10	7
0.025	0.059288842312000004	0.0004422144875811157	0.02893652	0.11068360000000001		-9.56121	0.0686996	0.50	25000	10	6
0.035	0.0410270954016	4.0067599651373866e-05	0.031167240000000002	0.0532804		-8.846119999999999	0.0505072	0.50	25000	10	6
0.015	0.021213594529340227	0.001543306371905501	-0.00302318	0.13123479999999998		-7.41748	0.000442388	0.50	25000	10	9
0.035	0.0333544800984	0.00025414243656348383	0.013097039999999999	0.0679968		-8.737630000000001	0.0669204	0.50	25000	10	10
0.035	0.04454223851360001	0.00022556518239810416	0.01654412	0.0726924		-6.22104	0.07369239999999999	0.50	25000	10	2
0.025	0.06415009801359998	0.00039599565491260267	0.03295824	0.10293799999999999		-11.0018	0.043585200000000004	0.50	25000	10	2
0.015	0.00075271222822492	4.092584069589376e-05	-0.00456816	0.01584808		-6.38586	3.0197279999999998e-05	0.50	25000	10	7
0.045	0.046925153988800004	0.00015213129509975543	0.0232188	0.0696392		-7.65729	0.06078600000000001	0.50	25000	10	4
0.035	0.0348647905832	0.00021098747179640768	0.01129412	0.0592468		-10.5233	0.0538636	0.50	25000	10	5
0.005	0.0001410092330416697	5.4393527475436294e-05	-0.005532519999999999	0.005419		-4.5826	-0.0002435416	0.50	25000	10	5
0.025	0.039361832432	7.318993599561509e-05	0.02361016	0.0535232		-9.665280000000001	0.04309520000000001	0.50	25000	10	10
0.005	-0.0002545745085403118	2.268376565211188e-05	-0.00659716	0.0043135199999999995		-1.87135	-0.0006739480000000001	0.50	25000	10	9
0.005	-0.00010351698998562565	2.701821831989541e-05	-0.005355840000000001	0.0046024		-3.53681	0.0002535208	0.50	25000	10	3
0.025	0.035533801755187715	0.00038034344833585103	-0.00038407519999999996	0.06819560000000001		-9.03913	0.051636400000000006	0.50	25000	10	4
