s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.025	0.04542134664	0.00023747949590369728	0.02376490909090909	0.07053236363636364		-23.7004	0.03273054545454546	0.50	55000	10	10
0.045	0.04951393401818182	0.00010609191064498195	0.029992181818181817	0.06747854545454546		-14.9237	0.06265981818181818	0.50	55000	10	9
0.015	0.051350071173161115	0.003995498669331245	-0.0012908109090909092	0.14588145454545454		-14.8449	0.0002525090909090909	0.50	55000	10	6
0.045	0.047399720567272735	0.00011526455196471071	0.03539363636363636	0.07109327272727273		-18.6799	0.06708945454545455	0.50	55000	10	7
0.025	0.03301195354945455	5.445433395274786e-05	0.020871090909090912	0.047772		-22.5688	0.027215090909090908	0.50	55000	10	3
0.045	0.06008854304363637	0.0002150172019403867	0.039671090909090906	0.08829781818181819		-15.3706	0.09170836363636364	0.50	55000	10	10
0.025	0.05179543773090909	0.00012968131983459398	0.036201454545454544	0.0774830909090909		-19.6371	0.04574090909090909	0.50	55000	10	8
0.045	0.06090177569090908	0.00024591378165994673	0.04287836363636364	0.10176563636363636		-18.1297	0.09344090909090909	0.50	55000	10	4
0.035	0.04807385592727274	4.993759614904372e-05	0.038257454545454546	0.06200018181818182		-17.6213	0.058827090909090905	0.50	55000	10	6
0.015	0.020850323933605346	0.0013458943250149384	-0.0014985	0.10315981818181819		-16.0615	-0.00024294	0.50	55000	10	1
0.015	0.0009954918698725165	4.586079217940419e-05	-0.0017317163636363635	0.008567563636363636		-16.7536	-0.00051382	0.50	55000	10	4
0.005	0.0027301077297036845	0.000612152274794876	-0.0039524545454545455	0.015774545454545454		-1.9295799999999999	4.068490909090909e-05	0.50	55000	10	3
0.025	0.05244911221818182	7.431115832038504e-05	0.040128	0.07045454545454545		-17.9498	0.04994272727272727	0.50	55000	10	2
0.025	0.033346619706909095	9.166022032447454e-05	0.015416054545454546	0.04662818181818182		-18.1878	0.045122909090909095	0.50	55000	10	4
0.035	0.044601062207272724	0.00010476326542960942	0.025354181818181817	0.05824381818181818		-20.0232	0.058092363636363636	0.50	55000	10	9
0.015	0.0532441566454418	0.000926829221849192	-0.00045217818181818184	0.10314345454545455		-19.5841	0.057707636363636364	0.50	55000	10	9
0.025	0.04168504067636363	8.72262506707995e-05	0.02534109090909091	0.05474454545454545		-16.8703	0.05089636363636364	0.50	55000	10	7
0.015	0.020315869771245654	0.0015836337670069767	-0.001698289090909091	0.1228089090909091		-17.0383	0.061734	0.50	55000	10	3
0.045	0.06706182471454546	0.00040741953341452794	0.024178727272727272	0.09532909090909092		-16.7125	0.08568781818181818	0.50	55000	10	2
0.025	0.03740689658181818	6.425808171926038e-05	0.025957454545454547	0.05206909090909091		-21.4359	0.04611890909090909	0.50	55000	10	5
0.045	0.050834164570909085	7.047005337289627e-05	0.03750872727272727	0.0678650909090909		-19.8897	0.06876454545454545	0.50	55000	10	1
0.035	0.04572126958545454	2.3604196492327247e-05	0.036332727272727273	0.05588218181818182		-17.778	0.05117927272727273	0.50	55000	10	4
0.045	0.05340868175272727	0.00017190850629135424	0.03717290909090909	0.078636		-16.1091	0.07846181818181817	0.50	55000	10	6
0.045	0.05124619854545454	0.0001399570581282441	0.03564618181818182	0.07550981818181818		-16.317999999999998	0.07381872727272727	0.50	55000	10	5
0.025	0.04209494101090909	3.341618786223456e-05	0.031401818181818184	0.052775999999999997		-18.5618	0.04736345454545454	0.50	55000	10	6
0.045	0.05103653796	9.399025887644365e-05	0.037708909090909085	0.07329727272727272		-18.9297	0.06327545454545455	0.50	55000	10	8
0.015	0.052100537467092964	0.0019257275127876068	-0.0007976472727272728	0.11162854545454545		-16.8983	0.058191454545454546	0.50	55000	10	7
0.045	0.05518985448	5.643585062201159e-05	0.03920054545454546	0.06834072727272728		-16.6609	0.06253545454545455	0.50	55000	10	3
0.005	0.00014761958283916388	1.3118407266358015e-05	-0.0027177636363636365	0.0032825454545454542		-10.8942	-0.00030316363636363633	0.50	55000	10	2
0.035	0.03927214686181819	4.5512785795332965e-05	0.02525163636363636	0.04845163636363636		-20.2913	0.04554654545454545	0.50	55000	10	10
0.015	0.0003080421658863491	6.4689373302217995e-06	-0.0019516181818181818	0.006101181818181818		-17.0875	6.499545454545455e-06	0.50	55000	10	2
0.035	0.057244813294545456	0.0002938426226381069	0.03769454545454545	0.08921418181818182		-15.5751	0.07230581818181818	0.50	55000	10	2
0.035	0.061322903858181815	0.00013588893868305769	0.047576545454545455	0.08440818181818181		-15.3686	0.08097945454545455	0.50	55000	10	8
0.005	-0.004005657590819051	0.0007263429002501499	-0.035737454545454544	0.0026571636363636364		-9.17559	7.664181818181818e-05	0.50	55000	10	7
0.015	0.02394485361433428	0.0010783589986045252	-0.0011643254545454544	0.09132909090909092		-16.6984	0.02366381818181818	0.50	55000	10	8
0.025	0.032564503597090906	8.506532728057714e-05	0.018176290909090908	0.045694727272727276		-21.6972	0.041075272727272724	0.50	55000	10	9
0.015	0.035485381156448045	0.0013921865626795645	-0.0007225436363636363	0.11517836363636365		-15.9346	-2.3228e-06	0.50	55000	10	5
0.005	0.0004393105120042873	4.646279738808603e-05	-0.002167781818181818	0.0043492545454545456		-4.6674	7.913763636363636e-05	0.50	55000	10	6
0.035	0.048775801861818194	0.0003062342802250447	0.021736363636363637	0.08364818181818182		-18.535	0.07219454545454546	0.50	55000	10	5
0.035	0.04884058156727273	0.00011138404413378483	0.02956581818181818	0.07001381818181819		-18.9836	0.06606218181818183	0.50	55000	10	1
0.005	0.00034619329865105816	3.161647467581248e-05	-0.002247163636363636	0.0030820181818181818		-11.7252	0.0012423381818181818	0.50	55000	10	5
0.005	0.00018017692241709092	4.7378310774959504e-05	-0.0026473272727272723	0.0025232363636363635		-11.2929	-1.30462e-05	0.50	55000	10	8
0.005	0.0070162359664408406	0.0016874392679488038	-0.0022926727272727272	0.15564490909090908		-7.131419999999999	-0.00040014363636363637	0.50	55000	10	9
0.015	0.04603668325152584	0.0011303850930770242	-0.0006410236363636364	0.10485618181818182		-20.1189	0.04771490909090909	0.50	55000	10	10
0.005	-0.0001483082822959818	2.1520113987629805e-05	-0.0035760181818181814	0.0024751272727272728		-10.2885	0.00018163236363636363	0.50	55000	10	10
0.035	0.0462134455890909	1.637221669547022e-05	0.03895618181818182	0.05392054545454546		-18.8764	0.054858727272727274	0.50	55000	10	3
0.005	0.004823844617693887	0.0004458582868711826	-0.0023850000000000004	0.06219509090909091		-5.525519999999999	0.0005695963636363637	0.50	55000	10	1
0.005	-0.00012083854958255863	1.740160053387932e-05	-0.002877745454545455	0.0027233454545454545		-7.480689999999999	-2.5890909090909093e-05	0.50	55000	10	4
0.035	0.057877897276363645	8.043208744741037e-05	0.04067381818181818	0.075302		-13.7332	0.06821054545454545	0.50	55000	10	7
0.025	0.04650500813090909	7.147272249740531e-05	0.03187290909090909	0.06286254545454545		-19.993	0.04713527272727273	0.50	55000	10	1
