s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.015	0.081811664360448	0.0005845088863649188	0.03673424	0.1317884		-23.6872	0.045494	0.50	25000	10	5
0.015	0.0015391067707864734	0.0001981669045516627	-0.005149880000000001	0.012247039999999999		-20.4005	0.00040124000000000003	0.50	25000	10	3
0.025	0.054797722379200005	0.0001530925752174279	0.02884652	0.0711344		-32.6402	0.06438239999999999	0.50	25000	10	5
0.045	0.056905993704800005	0.00034074952453137	0.031243359999999998	0.1003204		-25.7991	0.0772912	0.50	25000	10	3
0.015	0.03225864821283052	0.001679255881366906	-0.002565492	0.1141052		-23.0259	0.047784799999999995	0.50	25000	10	9
0.015	0.01402715852950405	0.000918608761787106	-0.00278908	0.11241799999999999		-22.4111	0.0525872	0.50	25000	10	6
0.025	0.0358704777376	3.472729058630338e-05	0.0236598	0.0456108		-31.7402	0.041976400000000004	0.50	25000	10	6
0.025	0.03502105411920001	4.9766524766949524e-05	0.023498520000000002	0.0487924		-38.0773	0.0401812	0.50	25000	10	10
0.015	0.009454315753627825	0.0005507597294891842	-0.003700124	0.08182439999999999		-18.997	-0.001684304	0.50	25000	10	4
0.005	-0.01889385000449668	0.007862907698739445	-0.33737	0.007241480000000001		-13.08	-0.00012850400000000002	0.50	25000	10	7
0.015	0.009277523792017267	0.00047618427591900807	-0.0035683280000000004	0.0715008		-25.8138	0.0027995240000000003	0.50	25000	10	1
0.005	-8.479020494759169e-05	0.0002616499411022175	-0.00911552	0.01704412		-15.817	0.00141062	0.50	25000	10	3
0.015	0.005865127949244293	0.00015088048059974193	-0.002215804	0.0400644		-29.9934	0.02503468	0.50	25000	10	7
0.025	0.0409145815312	5.584333390878739e-05	0.03215412	0.0582876		-28.6828	0.055306400000000006	0.50	25000	10	3
0.005	0.000757600134943836	8.895543263780695e-05	-0.00486664	0.00810368		-19.5016	-0.0003650156	0.50	25000	10	5
0.045	0.0647139443144	0.00041905652239883394	0.034858759999999996	0.0909672		-22.9155	0.0840948	0.50	25000	10	6
0.045	0.06476440328559999	0.0002099481987236199	0.03864952	0.0880272		-23.6953	0.08380879999999999	0.50	25000	10	1
0.045	0.06225222380480001	0.000290717574819546	0.039440159999999995	0.0927936		-18.9207	0.10042559999999999	0.50	25000	10	5
0.035	0.0419587049168	8.810133950068546e-05	0.029909640000000005	0.061357600000000005		-29.3231	0.0601388	0.50	25000	10	5
0.035	0.0497257732232	3.164611188897086e-05	0.041303599999999996	0.0626644		-32.9158	0.058103199999999994	0.50	25000	10	9
0.015	0.02306837605759327	0.001778839548682468	-0.003400212	0.1377424		-16.2387	0.001143536	0.50	25000	10	2
0.015	0.004976221020545613	0.0001003056313887974	-0.002458516	0.03162464		-28.4511	0.02395868	0.50	25000	10	8
0.035	0.0456016873456	0.00010446249231724161	0.0295038	0.0688784		-32.4723	0.0540108	0.50	25000	10	7
0.035	0.0529845464128	6.54929215596807e-05	0.03955488	0.06946279999999999		-28.1902	0.0654512	0.50	25000	10	4
0.005	0.0055361791109457105	0.0004568908398098687	-0.00420036	0.0800912		-17.0327	0.002658864	0.50	25000	10	8
0.045	0.0554226336832	7.959683395227318e-05	0.0407664	0.0706896		-25.7794	0.0719956	0.50	25000	10	8
0.035	0.0439067413672	7.403919356803577e-05	0.02996224	0.0599392		-32.6012	0.0616576	0.50	25000	10	2
0.025	0.0385319742888	3.8495439682489734e-05	0.028326840000000002	0.0518676		-35.7355	0.03611696	0.50	25000	10	9
0.025	0.039972436616	0.00011002640878672862	0.02119708	0.058476		-30.1251	0.0494412	0.50	25000	10	4
0.035	0.0484645044992	4.678101021737079e-05	0.03505296	0.0607064		-27.1216	0.0632776	0.50	25000	10	10
0.005	0.001042578208399411	0.0003077671054305136	-0.00985368	0.017820839999999998		-11.5605	-0.0001838852	0.50	25000	10	4
0.045	0.06492916795279999	0.0003843379659395757	0.03866232	0.098986		-23.1335	0.0876068	0.50	25000	10	7
0.035	0.045746027412000005	5.0489561839919644e-05	0.03254072	0.058833199999999995		-36.0077	0.0537432	0.50	25000	10	3
0.045	0.067602554932	9.695877030917843e-05	0.0508416	0.0866948		-25.5263	0.078136	0.50	25000	10	10
0.005	0.00802207107429964	0.0005032269020979849	-0.0039101119999999994	0.0779088		-14.2736	-0.00040992400000000004	0.50	25000	10	10
0.025	0.0449993293856	1.6658845227075076e-05	0.03778228	0.053383999999999994		-29.6037	0.0521424	0.50	25000	10	7
0.035	0.05108535203760001	9.660229520354105e-05	0.03309996	0.06760479999999999		-27.7911	0.0609456	0.50	25000	10	8
0.035	0.048361586716	6.301052424438564e-05	0.0346574	0.0611316		-27.5512	0.0598232	0.50	25000	10	1
0.035	0.0444176061744	0.00015928675412206793	0.0180058	0.0586328		-29.2662	0.0559288	0.50	25000	10	6
0.015	0.037916195544635115	0.0034083632028550615	-0.002135136	0.18523240000000002		-25.5169	0.14934	0.50	25000	10	10
0.005	0.004127232204769864	0.0003811418273152965	-0.0049052	0.0663376		-7.82855	-0.001177052	0.50	25000	10	9
0.045	0.047633422529600004	0.00014475613751944395	0.03275324	0.068468		-26.151999999999997	0.0697412	0.50	25000	10	9
0.045	0.0575676579928	0.00011276180973005034	0.0405476	0.076822		-24.0966	0.0773088	0.50	25000	10	4
0.025	0.039086526521599996	5.6278929053369574e-05	0.0225374	0.048688		-34.894	0.04574	0.50	25000	10	1
0.045	0.059404976628799996	0.00018541318540983678	0.0351332	0.08334879999999999		-25.03	0.07486319999999999	0.50	25000	10	2
0.005	0.003034202445146071	0.0004281223408085207	-0.00536348	0.037110559999999994		-8.32889	-0.00045418	0.50	25000	10	2
0.025	0.0426567163848	5.081095211374527e-05	0.03031564	0.0582428		-31.9327	0.045923599999999995	0.50	25000	10	8
0.025	0.0463854293512	5.183733644130749e-05	0.03153364	0.058226400000000005		-30.0729	0.0532484	0.50	25000	10	2
0.005	0.015028349187436493	0.00427036838644108	-0.00526364	0.2542912		-9.50106	-0.00021407	0.50	25000	10	1
0.005	0.008419961442805112	0.0027792366795003774	-0.00569572	0.0908912		-10.8348	0.26187119999999997	0.50	25000	10	6
