s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.005	-3.96346483011839e-05	3.699974959088799e-05	-0.004978880000000001	0.005214		-3.15231	0.0003267248	0.50	25000	20	6
0.005	-0.00028887674156727984	4.05900438192413e-05	-0.0055748	0.00470844		-5.49234	-0.001421824	0.50	25000	20	7
0.005	-7.717876332806319e-05	1.5879814772808926e-05	-0.0049565600000000005	0.0045322800000000005		-4.49139	0.000695628	0.50	25000	5	6
0.005	0.002666436546425168	0.00017164437010995333	-0.004210719999999999	0.0485492		-2.61729	2.2857279999999997e-05	0.50	25000	5	2
0.015	0.01437405482894159	0.0008669174399695914	-0.00302674	0.0951696		-3.2850300000000003	0.0013983840000000001	0.50	25000	5	7
0.005	0.0004062514053644559	5.280791676256077e-05	-0.00474148	0.00637952		-4.13324	0.00023714920000000002	0.50	25000	20	8
0.015	0.02368913180892152	0.001822880396357305	-0.002452452	0.1301756		-11.8396	0.0815804	0.50	25000	20	3
0.005	0.00031749589324038703	2.5444224918020717e-05	-0.0042024	0.006621760000000001		-7.544810000000001	-0.0001894912	0.50	25000	20	1
0.015	0.003930112637177608	0.00011645638288242215	-0.002335268	0.0417452		-7.672789999999999	0.00033857040000000003	0.50	25000	5	6
0.005	-0.00016260460996322848	4.381328740064994e-05	-0.00677424	0.00526824		-5.49198	-0.001218312	0.50	25000	20	4
0.005	0.00013657779769172876	1.4105952322298634e-05	-0.00461152	0.00597556		-3.80798	-0.00010574639999999999	0.50	25000	5	5
0.015	0.02946229535557136	0.00037870656079638077	-0.0007078360000000001	0.0659016		-12.2026	0.026144439999999998	0.50	25000	20	6
0.005	0.000754032144405496	3.6027400399672245e-05	-0.0037539879999999998	0.01233816		-2.04141	-0.0002692012	0.50	25000	5	3
0.005	9.007983736973634e-05	6.521813990255909e-06	-0.0022172727272727275	0.0023638545454545455		-1.8637099999999998	-7.274818181818182e-05	0.50	55000	20	3
