s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.035	0.0545151830232	0.00035008768001442716	0.029408359999999998	0.0932332		-17.6503	0.0591332	0.50	25000	10	3
0.045	0.09259822860639999	0.0011583468832229498	0.045565600000000005	0.1372636		-14.6612	0.0602308	0.50	25000	10	7
0.045	0.055026771354400004	8.18237274839575e-05	0.03858216	0.0746896		-16.8349	0.0664848	0.50	25000	10	9
0.045	0.0714877776824	0.0010291275347949543	0.03715508	0.1429956		-9.14754	0.1240228	0.50	25000	10	6
0.035	0.0391848130704	0.0001247801087753206	0.01998132	0.056786		-19.6734	0.0511904	0.50	25000	10	8
0.025	0.0385137715504	3.3876532009407196e-05	0.02823672	0.05034520000000001		-19.7497	0.0468488	0.50	25000	10	10
0.025	0.0435465941992	0.0001726684143724638	0.02513152	0.068262		-18.7402	0.056398000000000004	0.50	25000	10	9
0.035	0.054864625968	0.00014075917764117915	0.03209048	0.0729264		-15.2358	0.0673396	0.50	25000	10	2
0.025	0.0477258225848	0.00011727764631235644	0.029373359999999998	0.0713208		-22.3982	0.051104399999999994	0.50	25000	10	7
0.005	0.00021128075955989913	3.119382301213135e-05	-0.00467384	0.0053440399999999996		-8.17714	-0.00914848	0.50	25000	10	2
0.015	0.004194322866273202	0.00043262970670559755	-0.004549559999999999	0.0686392		-11.4128	0.0021603599999999996	0.50	25000	10	9
0.015	0.024992749312429584	0.0024079434585126554	-0.0028403160000000003	0.14658200000000002		-13.282	-0.0015247479999999998	0.50	25000	10	5
0.025	0.039463875589599996	4.405937908463472e-05	0.027709559999999998	0.0523688		-20.7189	0.045456	0.50	25000	10	5
0.045	0.06462252083919999	0.0003322731410917203	0.03120304	0.10027040000000001		-17.6406	0.0656628	0.50	25000	10	2
0.025	0.0654134059816	0.00029170717972621876	0.035764279999999996	0.10611040000000001		-14.3884	0.0518704	0.50	25000	10	4
0.045	0.0563260943056	0.00023331940959805868	0.03476664	0.08624200000000001		-11.9184	0.0845616	0.50	25000	10	5
0.035	0.048946779676799994	0.00030642456978725743	0.02367236	0.076082		-16.1075	0.0640612	0.50	25000	10	1
