s-generated	s-infered	s-var	low-CI	high-CI	maxLNL	s-LNL	h	Ne	sample	rep-id
0.025	0.056546824996460174	4.149692675520472e-05	0.04434407079646018	0.06985823008849558		-4.65747	0.0591341592920354	0.50	11300	10	4
0.015	0.0523627145681416	3.950646590251962e-05	0.04047654867256637	0.06498973451327433		-7.72208	0.042909911504424775	0.50	11300	10	3
0.035	0.05705745022477877	1.75583136668285e-05	0.04839026548672566	0.06489548672566371		-2.55206	0.0604241592920354	0.50	11300	10	5
0.045	0.0563269904159292	1.772022780795432e-05	0.04819637168141593	0.06458699115044249		-0.228686	0.06270106194690266	0.50	11300	10	6
0.015	0.05224838997345133	3.1073061310349984e-05	0.04087548672566372	0.06335088495575221		-4.50546	0.05770159292035398	0.50	11300	10	8
0.045	0.056528955136283185	2.4070052885881392e-05	0.04663380530973451	0.065919203539823		-0.23400700000000002	0.0645475221238938	0.50	11300	10	9
0.005	0.004503818512776815	3.896023458538062e-06	0.001060716814159292	0.008640123893805309		-11.7455	0.010140796460176993	0.50	11300	10	8
0.025	0.05554693317168142	2.277547566028935e-05	0.04616530973451328	0.0648453982300885		-3.73785	0.057226902654867254	0.50	11300	10	6
0.025	0.05814689663362832	3.348058677276772e-05	0.04649061946902655	0.06860123893805309		-2.74116	0.06605787610619468	0.50	11300	10	8
0.005	0.0048854112079064075	6.291133927963356e-06	0.0005057601769911504	0.010174778761061947		-10.236	0.007769132743362832	0.50	11300	10	6
0.005	0.05763427199115043	3.49379830459823e-05	0.04298088495575222	0.06720557522123893		-15.0361	0.04024088495575221	0.50	11300	10	3
0.025	0.054395816835398236	2.163910157725427e-05	0.045209115044247794	0.06315115044247788		-4.22812	0.05028380530973451	0.50	11300	10	3
0.005	0.004684189061244371	7.887434134589586e-06	0.0004809442477876106	0.010459469026548674		-11.8214	0.008989469026548673	0.50	11300	10	4
0.025	0.053225621127433634	2.4099336426210462e-05	0.042035486725663714	0.0616053982300885		-3.2842300000000004	0.053539115044247784	0.50	11300	10	1
0.045	0.05813714825486725	2.767513706449727e-05	0.047070442477876104	0.06742539823008849		-0.21194200000000002	0.05799964601769912	0.50	11300	10	2
0.035	0.05877096768849559	4.6125700006324976e-05	0.04518079646017699	0.0697566371681416		-2.43837	0.06498008849557523	0.50	11300	10	2
0.035	0.05606184684424778	2.8251178494118463e-05	0.046272920353982304	0.06714469026548672		-2.4563599999999997	0.062424690265486714	0.50	11300	10	8
0.025	0.053645434423008835	2.5055918247093545e-05	0.043052831858407074	0.06274238938053096		-4.10069	0.06187274336283185	0.50	11300	10	5
0.025	0.05687621516460177	2.326317076291054e-05	0.046926814159292035	0.06590858407079646		-3.61465	0.06704646017699115	0.50	11300	10	10
0.015	0.04920753971681415	3.9469297629587945e-05	0.03419858407079646	0.059490973451327436		-7.35014	0.030093716814159295	0.50	11300	10	4
0.035	0.05801174959823008	2.485528975421776e-05	0.04788575221238938	0.06701327433628318		-0.205641	0.06547769911504425	0.50	11300	10	3
0.025	0.05841481306548673	4.028289657185434e-05	0.046898849557522125	0.0702262831858407		-3.0817	0.06186929203539823	0.50	11300	10	2
0.045	0.05664757979115045	3.4203996073278544e-05	0.04711893805309734	0.07024902654867256		-3.55195	0.06381513274336284	0.50	11300	10	3
0.015	0.052343788070796454	4.650064715876456e-05	0.034220530973451325	0.06309743362831859		-5.83707	0.03155424778761062	0.50	11300	10	5
0.045	0.05749261008318585	5.213532354081652e-05	0.043304070796460176	0.0708746017699115		-0.200909	0.06675637168141593	0.50	11300	10	4
0.015	0.054750159417699125	4.052814732894318e-05	0.04001637168141593	0.06645504424778761		-3.6741800000000002	0.06054787610619469	0.50	11300	10	10
0.015	0.05655500963185841	2.5382995271472142e-05	0.04608035398230089	0.06557601769911503		-6.48473	0.06219017699115043	0.50	11300	10	9
0.025	0.05673828091327434	5.366596643749647e-05	0.04474893805309735	0.07343345132743363		-4.27285	0.052823628318584066	0.50	11300	10	7
0.005	0.0048577947857396464	4.303255234421438e-06	0.0014257699115044248	0.009464690265486726		-9.5886	0.011096637168141594	0.50	11300	10	1
0.005	0.005951414902778762	5.098576016068779e-06	0.0025460353982300885	0.011263362831858408		-8.11282	0.01266283185840708	0.50	11300	10	9
0.035	0.05694028853274337	2.7442175152685618e-05	0.04358513274336283	0.06606849557522124		-2.9213400000000003	0.06221938053097345	0.50	11300	10	4
0.045	0.059273628923893804	3.0280859452509227e-05	0.047165929203539826	0.0692170796460177		-0.17886400000000002	0.0654478761061947	0.50	11300	10	5
0.005	0.004212184305708496	4.276184004949906e-06	0.00041736283185840703	0.008240619469026548		-12.1227	0.00794995575221239	0.50	11300	10	10
0.005	0.03237184566408496	0.0005430902762532507	0.0019021681415929202	0.059317345132743365		-14.1716	0.007229530973451328	0.50	11300	10	7
0.015	0.05483476983716814	3.7316923212589025e-05	0.04092654867256637	0.06486530973451328		-5.85875	0.047759203539823006	0.50	11300	10	7
0.035	0.057198129003539835	3.6549073338338114e-05	0.04670132743362832	0.06870628318584071		-2.5887	0.060221769911504436	0.50	11300	10	7
0.045	0.05483659769557521	2.021712890875476e-05	0.04540840707964602	0.0631753982300885		-3.14046	0.053267610619469025	0.50	11300	10	10
0.005	0.005637850795567788	5.196992784519595e-06	0.0015404513274336284	0.010633982300884956		-11.4784	0.007248849557522123	0.50	11300	10	2
0.045	0.05542551430796461	3.389841024185834e-05	0.04362681415929204	0.06572053097345132		-0.258154	0.05495212389380531	0.50	11300	10	8
0.035	0.05630924210619469	3.670074539445898e-05	0.04318433628318584	0.06712115044247786		-2.72729	0.05954053097345133	0.50	11300	10	1
0.025	0.05488601476637168	2.6348440094734092e-05	0.0428829203539823	0.06353557522123894		-3.8852	0.054844690265486724	0.50	11300	10	9
0.035	0.055545798500884966	1.9650710869007796e-05	0.04649734513274336	0.06381150442477876		-2.9293299999999998	0.061218141592920355	0.50	11300	10	10
0.035	0.054311806426548676	2.8568590436478513e-05	0.043743893805309735	0.0642053982300885		-2.42848	0.06512159292035398	0.50	11300	10	9
0.045	0.054058688456637166	3.1608487002220255e-05	0.04039053097345133	0.06379761061946902		-3.1310700000000002	0.05997371681415929	0.50	11300	10	1
0.015	0.05320694808318584	3.199646806822723e-05	0.041851769911504424	0.06351185840707964		-7.2560899999999995	0.05151159292035398	0.50	11300	10	2
0.045	0.05828797888318585	1.8740109569294657e-05	0.0498916814159292	0.0666137168141593		-0.223056	0.06022964601769912	0.50	11300	10	7
0.005	0.00498789051502223	3.512838627995313e-06	0.0015003362831858408	0.008829946902654867		-11.565	0.007918725663716814	0.50	11300	10	5
0.035	0.05883261703539824	2.9395338111934947e-05	0.04974380530973452	0.07069035398230089		-0.23191900000000001	0.06506053097345132	0.50	11300	10	6
0.015	0.0542671061539823	3.988849040365955e-05	0.04038424778761062	0.06522398230088496		-5.40103	0.04498	0.50	11300	10	6
0.015	0.05696038168141593	3.7230196536180946e-05	0.04342716814159292	0.06777575221238939		-5.206930000000001	0.048020265486725666	0.50	11300	10	1
